feature6766,feature6739,feature2332,feature2292,feature8471,feature3092,feature12293,feature3571,feature11087,feature412,feature13253,feature10539,feature9006,feature9551,feature5935,feature11538,feature5820,feature2126,feature626,feature11458,feature10277,feature13252,feature10928,feature653,feature9393,feature5385,feature11364,feature7107,feature537,feature944,feature12924,feature6928,feature2059,feature3525,feature5598,feature7052,feature954,feature7007,feature12374,feature6127,feature5054,feature13414,feature5204,feature1311,feature7103,feature9133,feature7118,feature5361,feature10562,feature13390,feature3960,feature3352,feature11700,feature972,feature3436,feature2733,feature6638,feature10900,feature11212,feature7077,feature11402,feature381,feature3496,feature5627,feature2450,feature11630,feature19,feature4292,feature6954,feature382,feature1572,feature11365,feature6029,feature8933,feature3852,feature2776,feature3347,feature1894,feature11674,feature5322,feature12884,feature4495,feature12881,feature822,feature8981,feature7977,feature10915,feature9703,feature180,feature8476,feature10846,feature3319,feature5534,feature9770,feature9064,feature10862,feature1984,feature4247,feature12955,feature10664,feature7057,feature7765,feature7849,feature2436,feature7521,feature146,feature11647,feature9722,feature366,feature10460,feature10467,feature9643,feature7466,feature3946,feature3564,feature9897,feature4353,feature3804,feature1400,feature7117,feature5642,feature4173,feature11474,feature8526,feature1520,feature11994,feature11229,feature6484,feature9143,feature2846,feature11745,feature9134,feature7621,feature6073,feature12709,feature4758,feature6332,feature244,feature7906,feature1565,feature8785,feature5738,feature892,feature6898,feature10247,feature2790,feature3862,feature8921,feature6062,feature3675,feature11850,feature2430,feature83,feature12262,feature11314,feature2959,feature4432,feature5898,feature6800,feature5823,feature6760,feature4327,feature2376,feature12912,feature3416,feature13064,feature11433,feature2802,feature113,feature4541,feature7244,feature3419,feature4859,feature5593,feature3520,feature11311,feature4265,feature8468,feature13142,feature10697,feature2508,feature7115,feature7902,feature7100,feature3711,feature792,feature2646,feature10773,feature1095,feature8464,feature2914,feature11779,feature2031,feature1413,feature11349,feature11366,feature343,feature888,feature9388,feature5499,feature13278,feature6937,feature10021,feature3624,feature2120,feature2868,feature3359,feature4781,feature12063,feature7288,feature2151,feature10155,feature11058,feature2686,feature355,feature7867,feature967,feature11705,feature12961,feature10217,feature3673,feature920,feature2866,feature4974,feature895,feature2079,feature5317,feature2455,feature6607,feature1617,feature11833,feature9828,feature10245,feature10246,feature10254,feature4164,feature1505,feature619,feature2908,feature1921,feature9381,feature1926,feature7926,feature12783,feature7948,feature7950,feature4860,feature6809,feature1210,feature10686,feature2184,feature6816,feature5815,feature7489,feature12138,feature9314,feature5008,feature2275,feature7692,feature13066,feature1874,feature5449,feature4903,feature5307,feature10946,feature406,feature8031,feature12758,feature5209,feature9176,class
7,0,-0.367881,0,0,0,0,0,0,0,0,0.00155,6.333333,0,0,0,0.003101,0,0.003101,0,0,0,0,0.00155,0,0,0,0.004651,0,0,0,0.003788,0,0.010865,0.011364,0.007752,0,0,0,0,0,0,0.003788,0,0.012403,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003788,0,0.693315,24.088235,0,0,0,0,0,0,0,0,0,0.003101,0,0,0,0,0,0,0,0,0,0,0,0.003101,0.003101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026357,0.015152,0,0.00155,0,0,0,0,0,0,0,0,0,0,0.00155,0.00155,0,0.011364,0.000777,0,0,0,0,0.00155,0.00155,0.003067,0.003788,0.003067,0.00021,0.00021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004651,0,0,37ae912
3.666667,0,-0.908156,0.008772,0.002924,0.002924,0.001949,0.000975,0.000975,0.000975,0.000975,0.000975,2.8,0,0,0,0.002924,2.5,0.000975,0.004573,0.005594,0,0,0.000975,0,0,0,0.005848,0.000975,0.001949,0.001949,0,0,0.029879,0.03125,0.005848,0,0.000975,0.000975,0.000975,0.000975,0,0,0.000975,0.003899,0.000975,0.000975,1,0,0,0,0.001949,0.018509,0.010417,0.001949,0.001949,0,0,0.001988,0,0.366088,23.912,0,0,0.000975,0,0.002924,0.002924,0,0,0,0.002924,0,0,0,0,0.001949,0.001949,0,0,0,0.000975,0,0.002924,0.002924,0,0.007585,0.003049,0.003049,2,0.007585,1,0.005848,0,0.000975,0,0,0.000975,0,0,0.055556,0.007952,0,0,0,0.000975,0,0,0,0,0,0,0,0,0.000975,0.000975,0,0.005208,0.000356,0.000975,0,0,0.000975,0.000975,0.000975,0.001524,0.001988,0.001524,0.000104,0.000104,0.000975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003976,0,0,0,0.003976,0,0,0,2,0,0,0,0,0.012713,0.005208,0,0,0,0,0,0,0,2,1,3,0,0,0,0,0,0,0,0.003976,0,0,0,0,0,0,0,0.000975,0,0,0,0,0,0,0,0.001988,0,0,0,2,0,0.013771,0.005208,0,0.001949,0,0.000975,0,0,0,0,0,0,0,0,0,0,0,0,0.000975,0,0,0,0,0.001988,0,0,0.000975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Al.Cash
6,6,-2.512013,0,0,0,0.00094,0,0.00094,0,0.00094,0.00094,0,1,-1.761107,0,0.00282,0,0.00094,0,0,0,0,0.00094,0,0,0,0.00282,0,0,0,0.001828,0,0.007773,0.00813,0.012218,7,0,0.00188,0,0,0,0.001828,0,0.00282,0,0,0,0,0,0,0,0,0,0,0,0.00094,0.003656,0.001828,0.005639,0.241962,16.375,0.011683,0.01626,0,0,0.00188,0.00188,0.001828,0,0,0.00282,0.001828,0,0,0,0,0,0,0,0,0,0.00094,0,0,0.00188,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001828,0.059211,0.009141,0,0,0.001828,0,0.004065,0.007151,0,0,0,0,0.00094,0,0.00094,0.00094,0,0.004065,0.000278,0,0,0,0,0.00094,0.00094,0.001362,0.001828,0.001362,0.000093,0.000093,0,0,0,0,0,0.00094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0.00282,0,0,0,0,0,0,0,0,0,0,0.00188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,alberist
6,0,-1.669311,0.005563,0.001391,0.001391,0,0,0,0,0,0,6,1,-2.499034,0,0.004172,2,0.002782,0.003378,0.004132,0.001391,0,0.001391,0,0,0,0.004172,0.001391,0,0,0.004255,0,0.02173,0.022727,0.006954,8,0,0.002782,0,0,0,0.004255,0.001391,0.004172,0.001391,0,1,0.002782,0.002782,6.5,0.001391,0.020192,0.011364,0,0,0,0,0.004255,0,0.263462,19.909091,0,0,0,0,0.004172,0.004172,0,0,0.005563,0.005563,0,0.004255,0.053237,0.022727,0.002782,0.002782,0,0,0.004255,0.002782,0.001391,0.002782,0.002782,0.002782,0,0,0,0,0,0,0.002782,0,0,0.001391,0.001391,0,0,0.004255,0.03338,0.021277,0,0.001391,0,0,0.011364,0.019992,0.004255,0.004255,0,0,0,0,0.001391,0.001391,0,0.011364,0.000777,0,0.004255,0,0,0.001391,0.001391,0.003378,0.004255,0.003378,0.000231,0.000231,0,0,0,0.001391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,0,0,0,0,0.004255,0.004255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004172,0,0,0,0,0,0,0,0,0,0,0.004172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,anrieff
0,0,-0.976317,0,0,0,0,0,0,0,0,0.004115,0,0,0,0,0.004115,0,0.004115,0,0,0,0,0.004115,0,0,0,0,0,0,0,0,0,0,0,0.004115,0,0,0,0.004115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013158,0,0.502548,16.942529,0,0,0,0,0.004115,0.004115,0,0,0,0.004115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111111,0.026316,0,0.004115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012346,0,0,37ae912
0,0,-2.024622,0.015075,0.002513,0.002513,0.005025,0.002513,0.002513,0.002513,0.002513,0,0,1,-3.615132,0.002513,0,2,0,0.033333,0.040773,0.002513,0.002513,0,0.007538,0.01005,0.017588,0,0.002513,0,0,0,0.002513,0,0,0,6,0.002513,0.002513,0,0.005025,0.005025,0,0.002513,0.005025,0.002513,0,1,0,0,0,0.002513,0.177686,0.1,0,0,0,0,0,0,0.154771,25.714286,0,0,0.002513,0,0.005025,0.005025,0,0.002513,0,0.005025,0,0,0,0,0.005025,0.005025,0,0.002513,0,0.01005,0.002513,0,0,0.005025,0,0,0,0,0,0,0.002513,0,0.002513,0,0,0.002513,0,0.045455,0.025126,0.045455,0,0,0,0,0.1,0.175926,0,0,0.002513,0,0.002513,0,0.002513,0.002513,0,0.1,0.006835,0,0.045455,0,0,0.002513,0.002513,0.033333,0.045455,0.033333,0.002278,0.002278,0,0,0,0,0,0.002513,0.002513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A.Grishchenko
0,0,-1.873842,0,0,0,0,0,0,0,0,0,0,1,-2.751083,0,0.003759,0,0.007519,0,0,0.003759,0,0.003759,0,0,0,0,0,0,0,0,0,0,0,0.003759,0,0,0,0,0,0,0,0,0.003759,0,0,0,0,0,6,0,0,0,0,0,0,0,0.006452,0,0.225585,20.72093,0,0,0,0,0,0,0,0,0.011278,0.003759,0,0.006452,0.111543,0.047619,0,0,0,0,0.006452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011278,0.032258,0,0.003759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AdrianKuegel
0,0,-1.132426,0,0,0,0.012987,0.006494,0.006494,0.006494,0.006494,0.006494,0,0,0,0,0.006494,0,0.006494,0,0,0,0,0,0.006494,0,0,0,0,0,0,0,0,0,0,0.006494,0,0,0,0,0,0,0,0,0,0.006494,0,0,0,0,0,0,0,0,0,0,0,0,0.055556,0,0.31401,21.76,0,0,0,0,0,0,0,0,0,0.006494,0,0,0,0,0,0,0,0.006494,0,0.019481,0,0.006494,0.006494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.051948,0.055556,0,0,0,0,0,0,0,0,0,0,0.006494,0,0.006494,0.006494,0,0.125,0.008544,0,0,0,0,0.006494,0.006494,0.041667,0.055556,0.041667,0.002848,0.002848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5,0,0,0,0,0,0,0,0,0,2,1,3,0.25,0.798296,0,0,0,0,0,0,0.025974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.055556,0.055556,0,0.055556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.055556,0,AguL
6,6.5,-1.558954,0,0,0,0.005848,0.002924,0.002924,0.002924,0.002924,0,0,1,-2.712916,0.002924,0,0,0,0,0,0,0.002924,0,0.008772,0.008772,0.01462,0.008772,0,0,0,0.006536,0.002924,0.057946,0.060606,0,0,0,0,0,0,0.002924,0.006536,0,0,0.002924,0,0,0,0,0,0,0,0,0,0,0,0.006536,0.006536,0.011696,0.241047,15.534483,0.043545,0.060606,0,0,0.002924,0.002924,0.006536,0,0,0.002924,0.006536,0,0,0,0,0,0,0,0,0.005848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017544,0.006536,0,0,0.006536,0,0,0,0,0,0,0,0,0,0.002924,0.002924,0,0.030303,0.002071,0,0,0,0,0.002924,0.002924,0.005348,0.006536,0.005348,0.000366,0.000366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002924,0,0,0,0,0,Aiz
3.666667,0,-1.717847,0.019868,0.006623,0.006623,0.004415,0.002208,0.002208,0.002208,0.002208,0.002208,2.8,0,0,0,0.002208,2.5,0.002208,0.027273,0.033359,0,0,0.002208,0,0,0,0.013245,0.002208,0.004415,0.004415,0,0,0.147094,0.153846,0.006623,0,0.002208,0.002208,0.002208,0.002208,0,0,0.002208,0,0.002208,0.002208,1,0,0,0,0.004415,0.091121,0.051282,0.004415,0.004415,0,0,0.011765,0,0.182803,25.691176,0,0,0.002208,0,0.004415,0.004415,0,0,0,0.002208,0,0,0,0,0.004415,0.004415,0,0,0,0.002208,0,0.006623,0.006623,0,0.045235,0.018182,0.018182,2,0.045235,1,0.004415,0,0.002208,0,0,0.002208,0,0,0.06181,0.011765,0,0,0,0.002208,0,0,0,0,0,0,0,0,0.002208,0.002208,0,0.025641,0.001753,0.002208,0,0,0.002208,0.002208,0.002208,0.009091,0.011765,0.009091,0.000621,0.000621,0.002208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023529,0,0,0,0.023529,0,0,0,2,0,0,0,0,0.062586,0.025641,0,0,0,0,0,0,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0.004415,0,0,0,0,0.002208,0,0,0,0,0,0,0,0.011765,0,0,0,2,0,0.067797,0.025641,0,0.004415,0,0.002208,0,0,0,0,0,0,0,0,0,0,0,0,0.002208,0,0,0,0,0,0,0,0.002208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Al.Cash
