feature11381,feature11351,feature2080,feature4638,feature3307,feature467,feature10684,feature4789,feature624,feature7526,feature11497,feature8373,feature7136,feature4255,feature4585,feature7590,feature3827,feature4779,feature6193,feature7960,feature1906,feature6592,feature4288,feature9666,feature839,feature10380,feature1627,feature3538,feature4568,feature4678,feature9870,feature11207,feature2075,feature2785,feature1109,feature5199,feature738,feature10200,feature6410,feature7421,feature850,feature6583,feature6466,feature8795,feature10685,feature7991,feature9583,feature4268,feature10008,feature9599,feature3565,feature2280,feature3905,feature8764,feature7950,feature7952,feature5722,feature7349,feature306,feature3450,feature6108,feature5773,feature9363,feature10163,feature6046,feature8927,feature5096,feature8152,feature8934,feature7226,feature10968,feature7359,feature1518,feature435,feature10472,feature4373,feature2217,feature4850,feature8508,feature117,feature5512,feature6337,feature9309,feature7970,feature7858,feature8172,feature11400,feature10449,feature3481,feature11155,feature2647,feature6753,feature1725,feature10522,feature2929,feature9521,feature11605,feature2999,feature308,feature2508,feature1084,feature9364,feature1867,feature9746,feature8779,feature7101,feature6449,feature211,feature5700,feature2447,feature10769,feature8294,feature3782,feature2802,feature5396,feature332,feature2662,feature11168,feature4282,feature7957,feature8684,feature4077,feature819,feature4840,feature2085,feature8753,feature4480,feature9448,feature38,feature7604,feature722,feature9916,feature9104,feature11724,feature8286,feature9607,feature2069,feature8651,feature6186,feature11373,feature9548,feature8440,feature8840,feature734,feature4305,feature3474,feature4630,feature8568,feature3602,feature1722,feature6784,feature10914,feature10314,feature3372,feature9579,feature8756,feature9611,feature1956,feature10746,feature3543,feature1593,feature4276,feature9578,feature7955,feature9042,feature5421,feature8989,feature10696,feature8469,feature8757,feature6219,feature3101,feature2419,feature1430,feature4956,feature268,feature7351,feature130,feature5241,feature886,feature769,feature8514,feature2091,feature7895,feature8020,feature8207,feature7014,feature155,feature10776,feature5854,feature3316,feature7805,feature10573,feature7444,feature5280,feature4713,feature6137,feature7221,feature5694,feature5718,feature10881,feature9930,feature7767,feature7845,feature6498,feature143,feature8287,feature32,feature7801,feature2622,class
7,0,-0.367881,0,0,0,0,0,0,0,0,0,0.00155,0,0,0,0,0.003101,0.003101,0.004651,0,0,0,0.00155,0,0,0.011364,-0.008158,0,0,0,0,0,0,0,0,0,0,0,0,0.012403,0,0,0,0,0,0,0,0.693315,0,0,0,0,0,0.007752,0.004651,0,0,24.088235,0,0,0,0,0,0,0,0.041667,0.003101,0,0.003101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000644,0.011364,0,0,0,0,0,0.003067,0.003067,0.000151,0.000174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37ae912
0,0,-1.68732,0.004127,0.001376,0,0,0,0,0,0.019048,1,0.000688,0.001967,0.000028,-2.197553,0,0.002063,0.000688,0,0,0.000688,0,0.000688,0,0.000688,0,0,0.000688,0.002751,0.000688,0,2,0,0.000688,0.000688,1,0,0,0.001376,0,0,0,0,0,0,0.004149,0.003384,0.284451,0.000688,0,0,0,0,0.002751,0.010316,0.001376,0.019048,20.753695,0,0,0,0,0,0.000688,0,0,0,0,0.000688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000235,0.004149,0.000688,2,0,0,0,0.000983,0.000983,0.000048,0.000056,0,0,0,0.000688,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008794,0.004149,0,0,0,0,0,0,0,2,1,3,0,0,0,0,0,0,0,0,0,0.000688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ACube
0,0,-1.889261,0.004519,0.002582,0,0,0,0,0,0.028777,1,0.000646,0.003865,0.000055,-3.242829,0.000646,0,0,0,0.002582,0,0.003228,0,0.000646,0.000646,0,0,0.001291,0.009684,0.000646,8,2,0.000646,0.000646,0.000646,1,0.000646,0.000646,0.001291,0.002582,0.000646,0,0,0,0,0.00339,0.002764,0.181159,0.000646,0,0,0,0.001291,0.008393,0.014203,0.001291,0.014388,21.26087,0,0.001291,0,0,0,0,0,0.115108,0.010329,0,0.001937,0,0.000646,0,0,0,0.001937,0,0,2,0.00339,0.005486,0,0,0,0,0,0,0,0,0,0,0,0.000646,0,0,0,0,0,0,0,0,0,0,0.000646,0,0,0,0,0,0.007019,0.00339,0,0,0.000646,0.007194,0,0,0,0.004519,0,0,0,0,0,0,0,0,0,2,0.008732,0.00339,0,0,0.000192,0.00339,0,0,0,0,0,0.000966,0.000966,0.000048,0.000055,0,0,0,0,0,0,0,0,0,0,0,0,0.000646,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,0,0.001937,0,0,0,0,0,0,0,0,0,0,0.000646,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AHA
3.666667,0,-0.908156,0.008772,0.002924,0.001949,0.000975,0.000975,0.000975,0.000975,0.034884,0,0.000975,0.004573,0.000064,0,0,0.002924,0.000975,0.005848,0,0.000975,0,0.000975,0.000975,0,0.03125,-0.022433,0.000975,0,0.000975,0,2.5,0.000975,0.000975,0.000975,1,0,0,0,0.003899,0,0,0,0,0,0.010417,0.008494,0.366088,0.001949,0,0,0,0.000975,0.005848,0.021442,0.001949,0.023256,23.912,0,0,0,0,0.023256,0,0,0.034884,0.002924,0,0.001949,0,0.000975,0.001949,0.000975,0.023256,0.001949,0.000975,0,2,0,0,0,0.001949,0.002924,0,0,0,0.000975,0,0,0,0,0,0.005848,0,0,0,1,0.002635,2,0.002899,0.003049,0.003049,0,0,0,0,0,0,0.010784,0.005208,0,0,0.000975,0,0,0,0,0,0.000975,0,0,0,0,0,0,0,0,2,0.013417,0.005208,0,0,0.000295,0.005208,0,0,0.000975,0,0,0.001524,0.001524,0.000075,0.000086,0,0,0,0,0,0,0,0,0,0,0.000975,0,0.000975,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000975,0,0,Al.Cash
6,0,-2.425556,0,0,0.003289,0.001645,0.001645,0.001645,0.001645,0,1,0,0,0,-1.695851,0.001645,0,0,0.004934,0.004934,0,0.008224,0,0,0.001645,0.018692,-0.013418,0.003289,0.008224,0.001645,0,0,0,0.001645,0,0,0.001645,0,0.001645,0.014803,0.001645,0,0,0,0,0,0,0.247722,0,0,0,0,0,0,0.011513,0,0,19.063291,0,0,0,0,0,0.006579,0,0,0,0,0.001645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000529,0.009346,0,0,0,0,0,0.002899,0.002899,0.000143,0.000164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Aliaksei
0,4.5,-0.616591,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001475,0,0,0,0.0059,0,0.007375,0,0,0.00295,0,0,0.004425,0.007375,0,0,0,0,0,0,0,0.001475,0,0.001475,0.014749,0.001475,0,0,0,0.004425,0,0,0.503235,0,-0.008118,0.020833,0,0,0,0.004425,0,0,30.75,0,0,0,0,0,0.007375,0,0,0,0,0.00295,0.001475,0,0,0,0,0,0,0,0,0,0,0.001475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001475,0,0,0,0,0,0,0,0.00059,0.010417,0,0,0,0.001475,0,0.003378,0.003378,0.000166,0.000191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,afix
6,0,-0.307998,0,0,0.002169,0.001085,0.001085,0.001085,0.001085,0,0,0.001085,0,0,0,0,0.003254,0.001085,0.003254,0,0.001085,0,0.001085,0.001085,0.001085,0.012422,-0.008918,0.002169,0.008677,0.001085,0,0,0.001085,0.001085,0.001085,0,0,0.001085,0.001085,0,0,0.001085,0.001085,0,0,0,0,0.662825,0,0,0,0.001085,0,0.005423,0.023861,0,0,29.969231,0,0,0,0,0,0.004338,0,0,0,0,0.001085,0,0,0,0.001085,0,0,0,0.001085,0,0,0,0,0,0,0,0.001085,0,0,0.001085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001085,0,0,0,0,0.001085,0,0,0.001085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000352,0.006211,0,0,0,0,0,0.001923,0.001923,0.000095,0.000109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ahxun2006
6,6,-2.512013,0,0,0.00094,0.00094,0,0,0.00094,0,1,0.00094,0,0,-1.761107,0,0.00282,0.00094,0.00282,0,0,0,0.00094,0,0,0.00813,-0.005836,0.00188,0,0,7,0,0,0,0,0,0,0.00094,0,0.00282,0,0,0,0,0.005639,0,0,0.241962,0,-0.006336,0.01626,0,0,0.012218,0.005639,0,0,16.375,0,0.00188,0,0,0,0.00094,0,0,0,0,0.00094,0,0,0,0,0,0,0,0,0,0.004065,0.006579,0.00094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00023,0.004065,0,0,0,0,0,0.001362,0.001362,0.000067,0.000077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,alberist
0,9,-1.078369,0.004854,0.006472,0,0,0,0,0,0.142857,0,0,0.011834,0.000167,0,0.001618,0,0,0,0.004854,0,0.008091,0,0.001618,0.001618,0,0,0.009709,0.009709,0.001618,7,0,0.001618,0.001618,0.001618,1,0.001618,0,0.001618,0.012945,0,0.001618,0,0.001618,0.004854,0,0,0.357491,0,-0.00419,0.010753,0,0,0,0.024272,0.003236,0.071429,20.291667,0,0.003236,0,0,0,0.004854,0,0.035714,0.001618,0,0.004854,0,0.001618,0,0,0,0,0,0,2,0.010753,0.017403,0,0,0,0,0,0,0.001618,0,0,0,0,0.001618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022263,0.010753,0,0,0,0.035714,0,0,0,0.006472,0,0,0,0.008876,0.011547,0,0,0,0,0,0,0,0,0,0.000609,0.010753,0,0,0,0,0,0.002959,0.002959,0.000146,0.000168,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031575,0.010753,0,0,0,0,0,0,0,0,0,0,0.004854,2,1,3,0,0,0,0.001618,0,0,0,0,2,0,0,0,0,0.001618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006472,0,0,0,0,0,0,0,0,amylase
6,0,-1.669311,0.005563,0.001391,0,0,0,0,0,0.015873,1,0,0.003378,0.000048,-2.499034,0,0.004172,0.002782,0.004172,0,0,0,0.001391,0.001391,0,0.022727,-0.016315,0.002782,0,0,8,2,0,0.001391,0.001391,1,0,0,0,0.004172,0,0,0,0.001391,0,0.011364,0.009266,0.263462,0.001391,0,0,0,0,0.006954,0.019471,0.002782,0.031746,19.909091,0,0.002782,0.002782,0.031746,0,0.001391,0,0.031746,0.002782,6.5,0.002782,0,0,0,0,0,0.004172,0,0,0,0.011364,0.018392,0,0,0,0.005563,0,0,0,0,0.022727,0.037721,0,0.001391,0.002782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015873,0,0,0,0,0,0.004172,0,0,0,0,0,0,0,0,0,0,0,0,0.000644,0.011364,0,0,0,0,0,0.003378,0.003378,0.000166,0.000191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,anrieff
