feature7201,feature7172,feature1304,feature2879,feature2058,feature295,feature383,feature4704,feature2976,feature6731,feature4461,feature4866,feature7276,feature5257,feature4747,feature2395,feature2969,feature1299,feature3872,feature2657,feature2848,feature6732,feature2684,feature6083,feature1194,feature6528,feature2910,feature4980,feature526,feature946,feature6409,feature2209,feature1011,feature4970,feature7075,feature1755,feature2841,feature2862,feature6387,feature6205,feature4634,feature3243,feature5022,feature705,feature4976,feature5873,feature456,feature3593,feature5601,feature2667,feature6026,feature6040,feature5837,feature4005,feature5010,feature6294,feature191,feature1436,feature2236,feature5491,feature5518,feature5336,feature6582,feature4043,feature4902,feature1059,feature2909,feature3360,feature5539,feature7032,feature1670,feature3563,feature4584,feature2445,feature6913,feature2541,feature1551,feature3778,feature5122,feature3818,feature3173,feature5564,feature697,feature7167,feature192,feature1174,feature1874,feature6626,feature1128,feature1383,feature1072,feature6569,feature4119,feature4960,feature3021,feature520,feature275,feature72,feature3441,feature2149,feature2004,feature3972,feature5597,feature3206,feature2368,feature7420,feature5200,feature4977,feature5985,feature1765,feature5181,feature453,feature5298,feature5541,feature6001,feature2865,feature7343,feature4483,feature4224,feature5207,feature891,feature5134,feature4869,feature208,feature6857,feature6129,feature5367,feature2170,feature7043,feature1681,feature6881,feature5445,feature6478,feature7218,feature5342,feature5705,feature6232,feature7193,feature6796,feature794,feature5635,feature2874,feature2270,feature6742,feature2697,feature6800,feature5373,feature1942,feature1534,feature3885,feature988,feature2214,feature6064,feature182,feature4975,feature4865,feature532,feature4244,feature4032,feature4438,feature130,feature4592,feature180,feature4650,feature123,feature168,feature2677,feature2681,feature2481,feature22,feature445,feature4757,feature1295,feature2733,feature6046,feature6463,feature2326,feature3219,feature1312,feature1835,feature3561,feature2674,feature6022,feature5486,feature2723,feature3379,feature19,feature5316,feature1301,feature5543,feature5487,feature3435,feature4397,feature4716,feature3315,feature1069,feature152,feature6522,feature1099,feature1248,feature2549,feature193,feature2145,feature2791,feature5937,feature2994,feature7403,feature2473,feature1805,feature558,feature5035,feature4929,feature2196,feature5668,feature5056,feature3644,feature6539,feature1330,feature3392,feature4895,feature4819,class
7,0,-0.367881,0,0,0,0,0,0,0,0.00155,6.333333,0,0,0,0,0.003101,0,0.003101,0,0,0,0,0.00155,0,0,0,0.004651,0,0,0,-0.008158,0.011364,0.007752,0,0,0,0,0,0,0,0,0.012403,0,0,0,0,0,0,0,0,0,0,0,0,0.693315,24.088235,0,0,0,0,0,0,0,0,0,0.003101,0,0.020833,0,0,0,0,0,0,0.020833,0,0,0.003101,0,0.041667,0,0,0,0,0,0,0,0,0,0,0,0,0.026357,0,0.00155,0,0,0,0,0,0,0,0.00155,0,0.000644,0.011364,0,0,0,0.00155,0.000174,0.003067,0.000151,0.003067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004651,0,0,37ae912
3.666667,0,-0.908156,0.008772,0.002924,0.001949,0.000975,0.000975,0.000975,0.000975,0.000975,2.8,0.034884,0,0,0,0.002924,2.5,0.000975,0.004573,0.000064,0,0,0.000975,0,0,0,0.005848,0.000975,0.001949,0,-0.022433,0.03125,0.005848,0,0.000975,0.000975,0.000975,0.023256,0.000975,0,0.000975,0.003899,0.000975,0.000975,0,1,0,0,0.008494,0.010417,0.001949,0.001949,0,0,0.366088,23.912,0,0,0.000975,0,0.002924,0.023256,0,0,0.034884,0.002924,0,0.011628,0,0,0.001949,0.023256,0,0,0.011628,0.000975,0,0.002924,0,0.034884,2,0.002899,0.003049,0.002635,0.003049,1,0.005848,0,0.000975,0,0.000975,0,0.055556,0,0,0.000975,0,0,0,0,0,0,0.000975,0,0.000295,0.005208,0.000975,0,0.000975,0.000975,0.000086,0.001524,0.000075,0.001524,0.000975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.005208,0.010784,0,0,0,0,0,0,0,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0.000975,0,0,0,0,0,0,0,2,0.005208,0.013417,0,0.001949,0,0.000975,0,0,0,0,0,0,0,0,0,0,0.000975,0,0,0,0,0.000975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Al.Cash
6,6,-2.512013,0,0,0.00094,0,0.00094,0,0.00094,0.00094,0,0,1,-1.761107,0,0.00282,0,0.00094,0,0,0,0,0.00094,0,0,0,0.00282,0,0,0,-0.005836,0.00813,0.012218,7,0,0.00188,0,0,0,0,0,0.00282,0,0,0,0,0,0,0,0,0,0,0.00094,0.005639,0.241962,16.375,0.01626,-0.006336,0,0,0.00188,0,0,0,0.019048,0.00282,0,0.009524,0,0,0,0,0,0,0.009524,0,0.00094,0,0.00188,0,0,0,0,0,0,0,0,0,0,0,0,0,0.059211,0,0,0,0.004065,0.006579,0,0,0.00094,0,0.00094,0,0.00023,0.004065,0,0,0,0.00094,0.000077,0.001362,0.000067,0.001362,0,0,0,0,0.00094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,0,0,0,0,0,0,0.00282,0,0,0,0,0,0,0,0,0,0.00188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,alberist
6,0,-1.669311,0.005563,0.001391,0,0,0,0,0,0,6,0.015873,1,-2.499034,0,0.004172,2,0.002782,0.003378,0.000048,0.001391,0,0.001391,0,0,0,0.004172,0.001391,0,0,-0.016315,0.022727,0.006954,8,0,0.002782,0,0,0,0,0.001391,0.004172,0.001391,0,0.031746,1,0.002782,6.5,0.009266,0.011364,0.001391,0,0,0,0.263462,19.909091,0,0,0,0,0.004172,0,0,0.005563,0.047619,0.005563,0.015873,0.015873,0.022727,0.037721,0.002782,0.031746,0,0,0.015873,0.002782,0.001391,0.002782,0.002782,0.031746,0,0,0,0,0,0,0.002782,0,0,0.001391,0,0,0.03338,0,0.001391,0,0.011364,0.018392,0,0,0,0,0.001391,0,0.000644,0.011364,0,0,0,0.001391,0.000191,0.003378,0.000166,0.003378,0,0,0.001391,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004172,0,0,0,0,0,0,0.004172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,anrieff
0,0,-0.976317,0,0,0,0,0,0,0,0.004115,0,0,0,0,0,0.004115,0,0.004115,0,0,0,0,0.004115,0,0,0,0,0,0,0,0,0,0.004115,0,0,0,0.004115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.502548,16.942529,0,0,0,0,0.004115,0,0,0,0.058824,0.004115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111111,0,0.004115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012346,0,0,37ae912
0,0,-2.024622,0.015075,0.002513,0.005025,0.002513,0.002513,0.002513,0.002513,0,0,0.037037,1,-3.615132,0.002513,0,2,0,0.033333,0.00047,0.002513,0.002513,0,0.007538,0.01005,0.017588,0,0.002513,0,0.002513,0,0,0,6,0.002513,0.002513,0,0,0.005025,0.005025,0.002513,0.005025,0.002513,0,0,1,0,0,0.081544,0.1,0.002513,0,0,0,0.154771,25.714286,0,0,0.002513,0,0.005025,0,0.002513,0,0.074074,0.005025,0,0.037037,0,0,0.005025,0.074074,0,0.002513,0.037037,0.01005,0.002513,0,0.005025,0,0,0,0,0,0,0,0.002513,0,0.002513,0,0.002513,0,0.025126,0,0,0,0.1,0.161849,0.002513,0,0.002513,0,0.002513,0,0.005663,0.1,0,0,0,0.002513,0.001888,0.033333,0.001641,0.033333,0,0,0,0,0.002513,0.002513,0,0,0,0,0,0,0,0,0,0,0,0,0.002513,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002513,0,0,0,0,0,0,0,0,0,0,0,0,0.002513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A.Grishchenko
0,0,-1.873842,0,0,0,0,0,0,0,0,0,0,1,-2.751083,0,0.003759,0,0.007519,0,0,0.003759,0,0.003759,0,0,0,0,0,0,0,0,0,0.003759,0,0,0,0,0,0,0,0,0.003759,0,0,0,0,0,6,0,0,0,0,0,0,0.225585,20.72093,0,0,0,0,0,0,0,0.011278,0,0.003759,0,0,0.047619,0.079035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011278,0,0.003759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AdrianKuegel
0,0,-1.132426,0,0,0.012987,0.006494,0.006494,0.006494,0.006494,0.006494,0,0,0,0,0,0.006494,0,0.006494,0,0,0,0,0,0.006494,0,0,0,0,0,0,0,0,0.006494,0,0,0,0,0,0,0,0,0,0.006494,0,0,0,0,0,0,0,0,0,0,0,0.31401,21.76,0,0,0,0,0,0,0,0,0,0.006494,0,0.083333,0,0,0,0,0,0.006494,0.083333,0.019481,0,0.006494,0,0.083333,0,0,0,0,0,0,0,0,0,0,0,0,0.051948,0,0,0,0,0,0,0,0.006494,0,0.006494,0,0.007079,0.125,0,0,0,0.006494,0.00236,0.041667,0.002052,0.041667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5,0,0,0,0,0,0,0,0,0,1,3,2,0.25,0.650672,0,0,0.025974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AguL
6,6.5,-1.558954,0,0,0.005848,0.002924,0.002924,0.002924,0.002924,0,0,0,1,-2.712916,0.002924,0,0,0,0,0,0,0.002924,0,0.008772,0.008772,0.01462,0.008772,0,0,0.002924,-0.043507,0.060606,0,0,0,0,0,0,0,0.002924,0,0,0.002924,0,0,0,0,0,0,0,0,0,0,0.011696,0.241047,15.534483,0.060606,-0.023616,0,0,0.002924,0,0,0,0.083333,0.002924,0,0.083333,0,0,0,0,0,0,0.083333,0.005848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017544,0,0,0,0,0,0,0,0,0,0.002924,0,0.001716,0.030303,0,0,0,0.002924,0.000303,0.005348,0.000263,0.005348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002924,0,0,0,0,Aiz
3.666667,0,-1.717847,0.019868,0.006623,0.004415,0.002208,0.002208,0.002208,0.002208,0.002208,2.8,0.081081,0,0,0,0.002208,2.5,0.002208,0.027273,0.000385,0,0,0.002208,0,0,0,0.013245,0.002208,0.004415,0,-0.110441,0.153846,0.006623,0,0.002208,0.002208,0.002208,0.054054,0.002208,0,0.002208,0,0.002208,0.002208,0,1,0,0,0.041818,0.051282,0.004415,0.004415,0,0,0.182803,25.691176,0,0,0.002208,0,0.004415,0.054054,0,0,0.054054,0.002208,0,0.027027,0,0,0.004415,0.054054,0,0,0.027027,0.002208,0,0.006623,0,0.081081,2,0.017289,0.018182,0.015711,0.018182,1,0.004415,0,0.002208,0,0.002208,0,0.06181,0,0,0.002208,0,0,0,0,0,0,0.002208,0,0.001452,0.025641,0.002208,0,0.002208,0.002208,0.000515,0.009091,0.000448,0.009091,0.002208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.025641,0.053089,0,0,0,0,0,0,0,1,3,2,0,0,0,0,0,0,0.004415,0,0,0,0,0.002208,0,0,0,0,0,0,0,2,0.025641,0.066052,0,0.004415,0,0.002208,0,0,0,0,0,0,0,0,0,0,0.002208,0,0,0,0,0.002208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Al.Cash
